Product order name;product_order_date;comment;factory;status;create_date;order_number;order_date;product_name;qty
ПКНФ-001317;15.12.2025;7550 - КНС (Основное)+ склад резерв (159тыс);Васюринская;В резерв после прихода;15.12.2025;ПКНФ-00838 ;27.11.2025;Канализационная насосная станция в корпусе из  стеклопластика КСС-КНС-1-2400-3900;1
ПКНФ-001334;15.12.2025;7719.2 - ЕН - Основное изделие;Васюринская;В резерв после прихода;15.12.2025;ПКНФ-00960 ;12.12.2025;Емкость накопительная КСС-ЕН-45, D=2400 мм, L=10500 мм, объем 45 м3;1
ПКНФ-001345;15.12.2025;7719.6 - ЕНП (Основное);Васюринская;В работе;15.12.2025;ПКНФ-00960 ;12.12.2025;Емкость накопительная питьевая КСС-ЕНП-10, D=2000 мм, L=3400 мм, объем 10 м3;1
ПКНФ-001363;18.12.2025;7550- Рама под УПМ;Васюринская;В резерв после прихода;18.12.2025;ПКНФ-00838 ;27.11.2025;7550- Рама под УПМ;1
ПКНФ-001380;22.12.2025;7038.2 - Рама под УПМ Балка под крышку;Васюринская;В работе;22.12.2025;ПКНФ-00832 ;13.10.2025;7038.2 - Рама под УПМ Балка под крышку;1
ПКНФ-001429;23.12.2025;7719.4У- Рама под установку;Новороссийская ( внс и пнс);В работе;23.12.2025;ПКНФ-00960 ;12.12.2025;7719.4- Рама под установку;1
ПКНФ-001430;23.12.2025;7719.4У-Коллекторы,патрубки;Новороссийская ( внс и пнс);В работе;23.12.2025;ПКНФ-00960 ;12.12.2025;7719.4-Коллекторы,патрубки;1
ПКНФ-001436;25.12.2025;7649.6 - КОС (Основное);Васюринская;В работе;25.12.2025;ПКНФ-00950 ;08.12.2025;Канализационные очистные сооружения, усиленные ребрами Полипропилен/Металл BAZMAN КОС-ПП 10-УФ (м3/с;1
ПКНФ-001437;25.12.2025;7649.7 - КОС (Основное);Васюринская;В работе;25.12.2025;ПКНФ-00950 ;08.12.2025;Канализационные очистные сооружения, усиленные ребрами Полипропилен/Металл BAZMAN КОС-ПП 33-УФ (м3/с;1
ПКНФ-001439;25.12.2025;7649.3 - ЕНП (Основное);Васюринская;В работе;25.12.2025;ПКНФ-00950 ;08.12.2025;Емкость накопительная питьевая из стеклопластика КСС-ЕНП-120, D=3200 мм, L=15100 мм, объем 120 м3;1
ПКНФ-001440;25.12.2025;7649.1 - ВНС в корпусе (Основное);Васюринская;В работе;25.12.2025;ПКНФ-00950 ;08.12.2025;Насосная станция повышения давления в корпусе из стеклопластика КСС-BНС-2800-5300;1
ПКНФ-001441;25.12.2025;7649.2 - ПНС в корпусе (Основное);Васюринская;В работе;25.12.2025;ПКНФ-00950 ;08.12.2025;Насосная станция пожаротушения КСС-П-3 NIS200-150-400-75-ЖН CDM3-8-ГА80-АВР-2ЭЗ-РК в блок-боксе с га;1
ПКНФ-001442;25.12.2025;7649.2У - ПНС установка;Новороссийская ( внс и пнс);В работе;25.12.2025;ПКНФ-00950 ;08.12.2025;Автоматическая насосная станция пожаротушения КСС-П-3 NIS200-150-400-75-ЖН CDM3-8-ГА80-АВР-2ЭЗ-РК;1
ПКНФ-001446;25.12.2025;7719.4 -  Рама под установку Балка под крышку Транспортировочные петли;Васюринская;В работе;25.12.2025;ПКНФ-00960 ;12.12.2025;7719.4 -  Рама под установку Балка под крышку Транспортировочные петли;1
ПКНФ-001447;25.12.2025;7719.4 - Трубопровод, патрубки;Новороссийская ( внс и пнс);В работе;25.12.2025;ПКНФ-00960 ;12.12.2025;7719.4 - Трубопровод, патрубки;1
ПКНФ-001449;25.12.2025;7586 - Рама под установку Балка под крышку Транспортировочные петли Подставки под трубопровод Ра;Васюринская;В работе;25.12.2025;ПКНФ-00948 ;05.12.2025;7586 - Рама под установку Балка под крышку Транспортировочные петли Подставки под трубопровод Ра;1
ПКНФ-001451;29.12.2025;7634.2У - Рама, стойка;Новороссийская ( внс и пнс);В работе;29.12.2025;ПКНФ-00931 ;15.12.2025;7634.2У - Рама, стойка;1
ПКНФ-001455;29.12.2025;7883 - Трубопровод;Новороссийская ( внс и пнс);В работе;29.12.2025;ПКНФ-00969 ;19.12.2025;7883 - Трубопровод;1
ПКНФ-001456;29.12.2025;3024 - Лестницы;Новороссийская ( внс и пнс);В работе;29.12.2025;ПКНФ-00959 ;11.12.2025;3024 - Лестницы;1
ПКНФ-001460;29.12.2025;7634.1У - Трубопровод;Новороссийская ( внс и пнс);В работе;29.12.2025;ПКНФ-00931 ;15.12.2025;7634.1У - Трубопровод;1
ПКНФ-001461;29.12.2025;7634.1У - Рама, стойка;Новороссийская ( внс и пнс);В работе;29.12.2025;ПКНФ-00931 ;15.12.2025;7634.1У - Рама, стойка;1
ПКНФ-001463;29.12.2025;7024.2 - Трубопровод;Новороссийская ( внс и пнс);В работе;29.12.2025;ПКНФ-00841 ;14.10.2025;7024.2 - Трубопровод;1
ПКНФ-001468;29.12.2025;6176.1 - ГКНС (Основное);Васюринская;В работе;29.12.2025;ПКНФ-00980 ;26.12.2025;Канализационная насосная станция КСС-ГКНС-1-3600-15000, на базе насосов 200WQ270-10-11;1
ПКНФ-001469;29.12.2025;6176.2 - ГКНС (Основное) обратный клапан берем со склада;Васюринская;В работе;29.12.2025;ПКНФ-00980 ;26.12.2025;Канализационная насосная станция КСС-ГКНС-2-3600-13000, на базе насосов 50WQ10-7-0.55;1
ПКНФ-001470;29.12.2025;6176.3 - ПНС в корпусе (Основное);Васюринская;В работе;29.12.2025;ПКНФ-00980 ;26.12.2025;Насосная станция пожаротушения вкорпусе КСС-ПНС-4000-5000 CDM85-3-2-АВР-РК;1
ПКНФ-001471;29.12.2025;6176.3У - Установка подачи воды для пожаротушения;Новороссийская ( внс и пнс);В работе;29.12.2025;ПКНФ-00980 ;26.12.2025;6176.3У - Установка подачи воды для пожаротушения;1
ПКНФ-001472;30.12.2025;5588 - станция очистки (компл);Васюринская;В работе;30.12.2025;ПКНФ-00975 ;24.12.2025;Станция очистки бытовых сточных вод серии ""ТРИУМФ - 20 лонг"", КНС, УФ с/т;1
